,,Male,,,,,,,,,,Female,,,,,,,,,,Total Sex,,,,,,,,,
,,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma
NOC_YEAR,NOC_CODE,G1EA1,G1EA12,G1EA14,G1EA15,G1EA16,G1EA2,G1EA4,G1EA6,G1EA8,G1EA9,G2EA1,G2EA12,G2EA14,G2EA15,G2EA16,G2EA2,G2EA4,G2EA6,G2EA8,G2EA9,G3EA1,G3EA12,G3EA14,G3EA15,G3EA16,G3EA2,G3EA4,G3EA6,G3EA8,G3EA9
2016,2132,88996,90664,0,96402,112610,0,71348,93019,83296,75981,84290,83897,0,91025,85807,0,0,85410,0,77527,88321,89851,0,96149,111643,0,68584,92100,83040,76064
2016,2133,99224,100814,0,108607,116298,0,79475,103492,87534,85211,87410,84885,0,96413,109126,0,0,88494,0,72299,97871,99056,0,105456,115445,0,79542,101532,87538,84352
2016,2134,95403,96642,0,100289,124557,0,64234,98141,0,79112,88735,88638,0,84911,0,0,0,88672,0,0,93876,95097,0,93504,124751,0,64234,95288,0,81683
2016,2141,83385,84084,0,84432,101813,0,72089,84721,91353,80949,69715,80521,0,70885,0,0,44103,76328,0,55816,81264,83377,0,83501,101427,0,64865,83619,87026,78518
2016,2142,99516,92633,0,99260,120607,0,0,99993,0,95615,103883,89561,0,0,0,0,0,103883,0,0,99866,92591,0,100756,118514,0,0,100550,0,95615
2016,2143,114649,115732,0,133447,0,0,0,119846,0,94995,109774,123151,0,0,0,0,0,123213,0,0,114424,115926,0,132842,0,0,0,119932,0,96043
2016,2144,94341,86536,0,99685,174862,0,0,94950,0,0,90991,0,0,90896,0,0,0,90991,0,0,92557,82402,0,97303,121783,0,0,93815,0,0
2016,2145,100488,88793,0,0,0,0,0,88949,0,0,111582,0,0,0,0,0,0,0,0,0,100891,87953,0,0,0,0,0,88622,0,127407
2016,2146,93131,89779,0,99466,103072,0,78526,93907,82732,94266,85230,85459,0,101403,0,0,0,86405,0,0,92774,88074,0,99493,103328,0,69375,93379,82732,92169
2016,2147,97946,100522,0,103684,110116,0,87291,101352,76769,90938,91998,99769,0,94612,94593,0,80310,97984,0,81866,97426,100499,0,101878,107270,0,85809,101017,77026,89387
2016,2148,93312,89176,0,98340,104093,0,0,95076,0,89568,82580,77168,0,84952,85679,0,0,83272,0,0,89420,88393,0,94579,95973,0,0,90605,0,89104
2016,2151,75981,80116,0,71081,0,0,123586,75587,0,76986,65050,72155,0,60683,0,0,0,65541,0,59952,71724,77538,0,65812,0,0,105471,71826,0,66340
2016,2152,81264,89642,0,51635,0,0,0,83692,0,52173,68655,71210,0,62476,0,0,0,67887,0,0,74982,78719,0,56669,0,0,0,75038,0,58687
2016,2153,82436,82924,0,82874,0,0,78234,83518,75393,75729,73634,72991,0,79617,0,0,51493,75809,0,59898,77818,77534,0,81732,115116,0,60896,79557,75393,68785
2016,2154,65405,78447,0,55695,0,0,57461,74036,79273,62359,62884,79376,0,0,0,0,0,74844,0,0,65296,78456,0,64320,0,0,53967,74056,79273,62270
2016,2161,97269,101656,0,88302,102507,0,64877,99750,0,46740,84653,89690,0,84194,77809,0,69047,85956,0,58368,89737,99117,0,85507,90418,0,66742,91018,0,57092
2016,2171,83411,84131,0,89686,89584,0,78383,85717,74317,80491,79984,81330,0,81340,101724,0,75074,81368,68933,77348,82224,83277,77700,87011,91445,0,77355,84209,73820,79564
2016,2172,88870,91511,0,94007,83110,0,79620,93863,78660,80820,70879,77025,0,85637,78690,0,62903,78837,0,60527,83370,86295,0,91442,83026,0,70715,87922,68734,75594
2016,2173,96245,97196,0,98681,108678,0,85254,97598,87057,88488,87825,90339,0,86720,108308,0,76681,88393,0,88775,94715,95673,0,96117,108543,0,83886,96015,81652,88560
